            1,           0.,          20.,           0.
      2,           0.,          15.,           0.
      3,           0.,          10.,           0.
      4,           0.,           5.,           0.
      5,           0.,           0.,           0.
      6,           5.,          20.,           0.
      7,           5.,          15.,           0.
      8,           5.,          10.,           0.
      9,           5.,           5.,           0.
     10,           5.,           0.,           0.
     11,          10.,          20.,           0.
     12,          10.,          15.,           0.
     13,          10.,          10.,           0.
     14,          10.,           5.,           0.
     15,          10.,           0.,           0.
     16,          15.,          20.,           0.
     17,          15.,          15.,           0.
     18,          15.,          10.,           0.
     19,          15.,           5.,           0.
     20,          15.,           0.,           0.
     21,          20.,          20.,           0.
     22,          20.,          15.,           0.
     23,          20.,          10.,           0.
     24,          20.,           5.,           0.
     25,          20.,           0.,           0.
     26,           0.,         17.5,           0.
     27,          2.5,          15.,           0.
     28,           5.,         17.5,           0.
     29,          2.5,          20.,           0.
     30,           0.,         12.5,           0.
     31,          2.5,          10.,           0.
     32,           5.,         12.5,           0.
     33,           0.,          7.5,           0.
     34,          2.5,           5.,           0.
     35,           5.,          7.5,           0.
     36,           0.,          2.5,           0.
     37,          2.5,           0.,           0.
     38,           5.,          2.5,           0.
     39,          7.5,          15.,           0.
     40,          10.,         17.5,           0.
     41,          7.5,          20.,           0.
     42,          7.5,          10.,           0.
     43,          10.,         12.5,           0.
     44,          7.5,           5.,           0.
     45,          10.,          7.5,           0.
     46,          7.5,           0.,           0.
     47,          10.,          2.5,           0.
     48,         12.5,          15.,           0.
     49,          15.,         17.5,           0.
     50,         12.5,          20.,           0.
     51,         12.5,          10.,           0.
     52,          15.,         12.5,           0.
     53,         12.5,           5.,           0.
     54,          15.,          7.5,           0.
     55,         12.5,           0.,           0.
     56,          15.,          2.5,           0.
     57,         17.5,          15.,           0.
     58,          20.,         17.5,           0.
     59,         17.5,          20.,           0.
     60,         17.5,          10.,           0.
     61,          20.,         12.5,           0.
     62,         17.5,           5.,           0.
     63,          20.,          7.5,           0.
     64,         17.5,           0.,           0.
     65,          20.,          2.5,           0.
